Telonics Data Report
Report Format,Condensed,1
Headers Row,23
Data Source,Argos
TDC Version,1.65 SECO1349

CTN,630234B
Comment,
Argos ID,117335

Report Period Begins,2012.04.27 21:16:17
Report Period Ends,2012.10.23 01:56:43

Report File Number,1 of 1
File Coverage Begins,2012.04.27 21:16:17
File Coverage Ends,2012.10.23 01:56:43

Measurement Units,,,degrees,degrees,meters,,degrees,degrees,,meters,meters,degrees C,Hit,,,,Yes/No,Yes/No,Yes/No,
Resolution,,,,,,,0.000043,0.000043,,5,5,,,,,,,,,
Range Minimum,,,,,,,-90.000000,-180.000000,,,,-40,,,,,,,,
Range Maximum,,,,,,,90.000000,180.000000,,,,70,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Argos Location Class,Argos Latitude,Argos Longitude,Argos Altitude,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,Temperature,Satellite Uplink,Receive Time,Satellite Name,Repetition Count,Low Voltage,Mortality,Predeployment Data,Error
2012.04.27 21:16:17,2012.04.27 21:16:17,A,33.385,-111.814,352,,,,,,,,,2012.04.27 21:16:17,P,3,,,,
2012.04.27 21:17:50,2012.04.27 21:17:50,,,,,,,,,,,,Hit,2012.04.27 21:17:50,P,2,No,No,Yes,
2012.04.27 21:19:22,2012.04.27 21:19:22,,,,,,,,,,,,Hit,2012.04.27 21:19:22,P,1,No,No,,CRC Error
2012.04.27 21:20:53,2012.04.27 21:20:53,3,33.383,-111.809,351,,,,,,,,,2012.04.27 21:20:53,N,5,,,,
2012.04.27 21:23:58,2012.04.27 21:23:58,,,,,,,,,,,,Hit,2012.04.27 21:23:58,N,5,No,No,Yes,
2012.04.27 23:05:10,2012.04.27 23:05:10,,,,,,,,,,,,Hit,2012.04.27 23:05:10,N,1,No,No,,CRC Error
2012.04.27 23:06:41,2012.04.27 23:06:41,A,33.385,-111.808,352,,,,,,,,,2012.04.27 23:06:41,N,3,,,,
2012.04.27 23:08:14,2012.04.27 23:08:14,,,,,,,,,,,,Hit,2012.04.27 23:08:14,N,2,No,No,Yes,Invalid Page
2012.04.27 23:58:49,2012.04.27 23:58:49,B,33.391,-111.814,353,,,,,,,,,2012.04.27 23:58:49,K,2,,,,
2012.04.28 00:00:22,2012.04.28 00:00:22,,,,,,,,,,,,Hit,2012.04.28 00:00:22,K,2,No,No,Yes,Invalid Page
2012.04.30 13:09:09,2012.04.30 13:09:09,3,33.383,-111.809,352,,,,,,,,,2012.04.30 13:09:09,K,8,,,,
2012.04.30 13:19:08,2012.04.30 13:19:08,,,,,,,,,,,,Hit,2012.04.30 13:19:08,K,8,No,No,Yes,
2012.04.30 13:34:28,2012.04.30 13:34:28,B,33.380,-111.816,352,,,,,,,,,2012.04.30 13:34:28,M,2,,,,
2012.04.30 13:34:28,2012.04.30 13:34:28,,,,,,,,,,,,Hit,2012.04.30 13:34:28,M,1,No,No,,CRC Error
2012.04.30 13:36:01,2012.04.30 13:36:01,,,,,,,,,,,,Hit,2012.04.30 13:36:01,M,1,No,No,Yes,
2012.04.30 14:45:04,2012.04.30 14:45:04,B,33.380,-111.814,352,,,,,,,,,2012.04.30 14:45:04,L,2,,,,
2012.04.30 14:48:09,2012.04.30 14:48:09,,,,,,,,,,,,Hit,2012.04.30 14:48:09,L,2,No,No,Yes,Invalid Page
2012.04.30 15:11:09,2012.04.30 15:11:09,0,33.384,-111.803,361,,,,,,,,,2012.04.30 15:11:09,M,9,,,,
2012.04.30 15:23:26,2012.04.30 15:23:26,,,,,,,,,,,,Hit,2012.04.30 15:23:26,M,9,No,No,Yes,Invalid Page
2012.06.01 19:59:32,2012.06.01 19:59:32,3,64.881,-147.886,202,,,,,,,,,2012.06.01 19:59:32,L,4,,,,
2012.06.01 20:02:36,2012.06.01 20:02:36,,,,,,,,,,,,Hit,2012.06.01 20:02:36,L,4,No,No,Yes,
2012.06.01 20:04:08,2012.06.01 20:04:08,B,64.874,-147.856,180,,,,,,,,,2012.06.01 20:04:08,K,2,,,,
2012.06.01 20:05:40,2012.06.01 20:05:40,,,,,,,,,,,,Hit,2012.06.01 20:05:40,K,2,No,No,Yes,
2012.06.01 20:12:34,2012.06.01 20:12:34,2,64.875,-147.863,180,,,,,,,,,2012.06.01 20:12:34,N,4,,,,
2012.06.01 20:13:20,2012.06.01 20:13:20,3,64.877,-147.876,187,,,,,,,,,2012.06.01 20:13:20,P,5,,,,
2012.06.01 20:14:52,2012.06.01 20:14:52,,,,,,,,,,,,Hit,2012.06.01 20:14:52,N,4,No,No,Yes,
2012.06.01 20:21:00,2012.06.01 20:21:00,,,,,,,,,,,,Hit,2012.06.01 20:21:00,P,5,No,No,Yes,
2012.06.01 20:51:40,2012.06.01 20:51:40,,,,,,,,,,,,Hit,2012.06.01 20:51:40,M,1,No,No,,CRC Error
