Telonics Data Report
Report Format,Condensed,1
Headers Row,24
Data Source,Argos
TDC Version,2.02 SECO1367
Conversion Parameters,TPF File,C:\tmp\AM\aws\080711003_87744.tpf,Last Modified,2008.11.13 14:36:26,Programmed,2008.09.24 19:16:18

CTN,621506A
Comment,
Argos ID,87744

Report Period Begins,2008.10.23 21:31:41
Report Period Ends,2008.10.24 01:09:15

Report File Number,1 of 1
File Coverage Begins,2008.10.23 21:31:41
File Coverage Ends,2008.10.24 01:09:15

Measurement Units,,,degrees,degrees,meters,,degrees,degrees,,meters,meters,degrees C,Hit,,,,Yes/No,
Resolution,,,,,,,0.000043,0.000043,,5,5,,,,,,,
Range Minimum,,,,,,,-90.000000,-180.000000,,,,-40,,,,,,
Range Maximum,,,,,,,90.000000,180.000000,,,,70,,,,,,
,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Argos Location Class,Argos Latitude,Argos Longitude,Argos Altitude,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,Temperature,Satellite Uplink,Receive Time,Satellite Name,Repetition Count,Predeployment Data,Error
2008.10.23 21:31:41,2008.10.23 21:31:41,,,,,,,,,,,,Hit,2008.10.23 21:31:41,N,7,Yes,
2008.10.23 21:54:22,2008.10.23 21:54:22,,,,,,,,,,,,Hit,2008.10.23 21:54:22,A,3,Yes,
2008.10.23 22:27:45,2008.10.23 22:27:45,,,,,,,,,,,,Hit,2008.10.23 22:27:45,L,1,Yes,
2008.10.23 22:29:05,2008.10.23 22:29:05,,,,,,,,,,,,Hit,2008.10.23 22:29:05,M,1,,CRC Error
2008.10.23 22:33:45,2008.10.23 22:33:45,2,66.945,-150.052,652,,,,,,,,,2008.10.23 22:33:45,M,8,,
2008.10.23 22:37:06,2008.10.23 22:37:06,,,,,,,,,,,,Hit,2008.10.23 22:37:06,M,3,Yes,
2008.10.23 22:38:26,2008.10.23 22:38:26,,,,,,,,,,,,Hit,2008.10.23 22:38:26,M,4,Yes,
2008.10.23 23:03:47,2008.10.23 23:03:47,,,,,,,,,,,,Hit,2008.10.23 23:03:47,K,1,Yes,
2008.10.23 23:05:07,2008.10.23 23:05:07,A,66.962,-150.081,742,,,,,,,,Hit,2008.10.23 23:05:07,K,1,Yes,
2008.10.23 23:06:27,2008.10.23 23:06:27,,,,,,,,,,,,Hit,2008.10.23 23:06:27,K,1,,CRC Error
2008.10.23 23:10:27,2008.10.23 23:10:27,3,66.957,-150.069,899,,,,,,,,,2008.10.23 23:10:27,N,5,,
2008.10.23 23:11:48,2008.10.23 23:11:48,,,,,,,,,,,,Hit,2008.10.23 23:11:48,N,2,Yes,
2008.10.23 23:13:08,2008.10.23 23:13:08,,,,,,,,,,,,Hit,2008.10.23 23:13:08,N,3,Yes,
2008.10.23 23:27:49,2008.10.23 23:27:49,,,,,,,,,,,,Hit,2008.10.23 23:27:49,A,2,Yes,
2008.10.23 23:29:09,2008.10.23 23:29:09,,,,,,,,,,,,Hit,2008.10.23 23:29:09,A,3,Yes,
2008.10.24 00:03:50,2008.10.24 00:03:50,2,66.973,-150.051,731,,,,,,,,,2008.10.24 00:03:50,L,7,,
2008.10.24 00:06:31,2008.10.24 00:06:31,,,,,,,,,,,,Hit,2008.10.24 00:06:31,L,3,Yes,
2008.10.24 00:07:51,2008.10.24 00:07:51,,,,,,,,,,,,Hit,2008.10.24 00:07:51,L,4,Yes,
2008.10.24 00:08:31,2008.10.24 00:08:31,1,66.971,-150.036,748,,,,,,,,,2008.10.24 00:08:31,M,4,,
2008.10.24 00:10:31,2008.10.24 00:10:31,,,,,,,,,,,,Hit,2008.10.24 00:10:31,M,2,Yes,
2008.10.24 00:11:51,2008.10.24 00:11:51,,,,,,,,,,,,Hit,2008.10.24 00:11:51,M,2,Yes,
2008.10.24 00:44:33,2008.10.24 00:44:33,2,66.982,-150.010,703,,,,,,,,,2008.10.24 00:44:33,K,7,,
2008.10.24 00:49:14,2008.10.24 00:49:14,,,,,,,,,,,,Hit,2008.10.24 00:49:14,K,3,Yes,
2008.10.24 00:50:34,2008.10.24 00:50:34,,,,,,,,,,,,Hit,2008.10.24 00:50:34,K,4,Yes,
2008.10.24 00:53:13,2008.10.24 00:53:13,2,66.989,-149.985,643,,,,,,,,,2008.10.24 00:53:13,N,6,,
2008.10.24 00:55:54,2008.10.24 00:55:54,,,,,,,,,,,,Hit,2008.10.24 00:55:54,N,3,Yes,
2008.10.24 00:57:14,2008.10.24 00:57:14,,,,,,,,,,,,Hit,2008.10.24 00:57:14,N,3,Yes,
2008.10.24 01:07:55,2008.10.24 01:07:55,,,,,,,,,,,,Hit,2008.10.24 01:07:55,A,2,Yes,
2008.10.24 01:09:15,2008.10.24 01:09:15,,,,,,,,,,,,Hit,2008.10.24 01:09:15,A,2,Yes,
,,,,,,,,,,,,5,,2008.10.23 22:27:45,L,25,Yes,
,,,,,,Succeeded,66.946950,-150.052257,5W,7428515,628769,,,2008.10.23 22:37:06,M,23,Yes,
,,,,,,Succeeded,66.947036,-150.053973,5W,7428521,628694,,,2008.10.23 23:27:49,A,17,Yes,
,,,,,,,,,,,,-10,,2008.10.23 23:29:09,A,16,Yes,
,,,,,,,,,,,,-16,,2008.10.24 00:49:14,K,8,Yes,
,,,,,,Succeeded,66.959138,-150.063157,5W,7429850,628229,,,2008.10.24 00:50:34,K,9,Yes,
