Telonics Data Report
Report Format,Condensed,1
Headers Row,24
Data Source,Argos
TDC Version,2.02 SECO1367
Conversion Parameters,TPF File,C:\tmp\AM\aws\tmp675B.tmp.tpf,Last Modified,2013.02.08 18:19:07,Programmed,2010.08.16 18:58:14

CTN,646253A
Comment,
Argos ID,37780

Report Period Begins,2012.10.20 16:00:34
Report Period Ends,2012.12.16 23:12:33

Report File Number,1 of 1
File Coverage Begins,2012.10.20 16:00:34
File Coverage Ends,2012.12.16 23:12:33

Measurement Units,,,degrees,degrees,meters,,degrees,degrees,,meters,meters,Hit,,,,Yes/No,Yes/No,
Resolution,,,,,,,0.000043,0.000043,,5,5,,,,,,,
Range Minimum,,,,,,,-90.000000,-180.000000,,,,,,,,,,
Range Maximum,,,,,,,90.000000,180.000000,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Argos Location Class,Argos Latitude,Argos Longitude,Argos Altitude,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,Satellite Uplink,Receive Time,Satellite Name,Repetition Count,Mortality,Predeployment Data,Error
2012.10.20 16:00:34,2012.10.20 16:00:00,,,,,Succeeded,65.312905,-144.655738,6W,7245359,609233,,2012.12.10 19:51:32,NL,1,,No,
2012.10.21 16:00:47,2012.10.21 16:00:00,,,,,Succeeded,65.334964,-144.400134,6W,7248283,621037,,2012.12.10 19:51:32,NL,1,,No,
2012.10.22 16:00:58,2012.10.22 16:00:00,,,,,Succeeded,65.333419,-144.340310,6W,7248227,623828,,2012.12.10 19:51:32,NL,1,,No,
2012.10.23 16:00:39,2012.10.23 16:00:00,,,,,Succeeded,65.273337,-144.766631,6W,7240763,604224,,2012.12.10 19:51:32,NL,1,,No,
2012.10.24 16:00:34,2012.10.24 16:00:00,,,,,Succeeded,65.435643,-144.891171,6W,7258645,597808,,2012.12.10 19:51:32,NL,1,,No,
2012.10.25 16:00:39,2012.10.25 16:00:00,,,,,Succeeded,65.306726,-144.691529,6W,7244609,607591,,2012.12.16 19:24:22,NM,2,,No,
2012.10.26 16:01:03,2012.10.26 16:00:00,,,,,Succeeded,65.301833,-144.697709,6W,7244053,607323,,2012.12.16 19:24:22,NM,2,,No,
2012.10.27 16:00:42,2012.10.27 16:00:00,,,,,Succeeded,65.434785,-144.086766,6W,7260037,635103,,2012.12.16 19:24:22,NM,2,,No,
2012.10.28 16:01:05,2012.10.28 16:00:00,,,,,Succeeded,65.510488,-143.793740,7W,7268216,370810,,2012.12.16 19:24:22,NM,2,,No,
2012.10.29 16:00:38,2012.10.29 16:00:00,,,,,Succeeded,65.261836,-144.021020,6W,7240921,639061,,2012.12.16 19:24:22,NM,2,,No,
2012.10.30 16:01:03,2012.10.30 16:00:00,,,,,Succeeded,65.276771,-144.228902,6W,7242141,629289,,2012.12.10 19:56:58,NL,6,,No,
2012.10.31 16:00:42,2012.10.31 16:00:00,,,,,Succeeded,65.284410,-144.116035,6W,7243228,634514,,2012.12.10 19:56:58,NL,6,,No,
2012.11.01 16:00:37,2012.11.01 16:00:00,,,,,Succeeded,65.306554,-144.518323,6W,7244896,615661,,2012.12.10 19:56:58,NL,6,,No,
2012.11.02 16:01:26,2012.11.02 16:00:00,,,,,Succeeded,65.474696,-145.124631,6W,7262654,586854,,2012.12.10 19:56:58,NL,6,,No,
2012.11.03 16:01:08,2012.11.03 16:00:00,,,,,Succeeded,65.474267,-145.124717,6W,7262606,586851,,2012.12.10 19:56:58,NL,6,,No,
2012.11.04 16:00:57,2012.11.04 16:00:00,,,,,Succeeded,65.389895,-145.083518,6W,7253263,589045,,2012.12.16 20:51:18,NN,1,,No,
2012.11.05 16:02:11,2012.11.05 16:00:00,,,,,Succeeded,65.358138,-145.072017,6W,7249741,589687,,2012.12.16 20:51:18,NN,1,,No,
2012.11.06 16:00:52,2012.11.06 16:00:00,,,,,Succeeded,65.392299,-145.175014,6W,7253404,584787,,2012.12.16 20:51:18,NN,1,,No,
